power,wind,target
5.862,5.78,5.862
6.4879999999999995,6.06,6.4879999999999995
6.1770000000000005,6.1,6.1770000000000005
6.039,6.49,6.039
6.122000000000001,6.02,6.122000000000001
7.332999999999999,6.28,7.332999999999999
8.12,5.93,8.12
9.999,5.46,9.999
9.234,6.08,9.234
8.576,3.74,8.576
7.359,6.8,7.359
6.6610000000000005,6.27,6.6610000000000005
6.252000000000001,6.13,6.252000000000001
5.104,6.08,5.104
3.55,5.6,3.55
4.274,5.5,4.274
4.224,4.87,4.224
3.765,4.99,3.765
2.176,4.79,2.176
2.685,4.35,2.685
2.3040000000000003,4.53,2.3040000000000003
0.981,4.86,0.981
0.135,4.11,0.135
0.2,4.24,0.2
0.021,4.07,0.021
0.0,3.75,0.0
0.0,3.36,0.0
0.0,3.56,0.0
0.0,3.31,0.0
0.0,3.66,0.0
0.0,3.58,0.0
0.0,3.92,0.0
0.0,3.34,0.0
0.0,2.86,0.0
0.0,2.27,0.0
0.0,1.71,0.0
0.0,2.61,0.0
0.0,2.55,0.0
0.0,2.53,0.0
0.0,2.43,0.0
0.026000000000000002,2.35,0.026000000000000002
0.0,2.15,0.0
0.418,2.12,0.418
1.56,1.95,1.56
1.4509999999999998,2.86,1.4509999999999998
3.2289999999999996,2.83,3.2289999999999996
3.983,3.36,3.983
5.534,3.12,5.534
7.5360000000000005,3.21,7.5360000000000005
8.382,2.9,8.382
10.85,4.23,10.85
14.720999999999998,4.51,14.720999999999998
10.687999999999999,4.21,10.687999999999999
8.052,4.45,8.052
6.54,4.29,6.54
6.525,4.48,6.525
4.545,4.62,4.545
5.496,5.36,5.496
7.513,5.16,7.513
7.85,4.73,7.85
8.646,5.35,8.646
8.796,5.76,8.796
11.502,5.79,11.502
10.4,5.55,10.4
12.747,5.8,12.747
19.84,5.65,19.84
21.609,6.56,21.609
24.191,7.27,24.191
24.201999999999998,7.6,24.201999999999998
23.994,7.78,23.994
21.065,8.04,21.065
27.772,7.8,27.772
26.52,8.53,26.52
30.678,9.04,30.678
34.538000000000004,9.11,34.538000000000004
31.971,8.88,31.971
34.888000000000005,8.86,34.888000000000005
33.004,8.67,33.004
35.618,8.66,35.618
35.303000000000004,8.6,35.303000000000004
33.498000000000005,8.54,33.498000000000005
34.8,8.73,34.8
34.891999999999996,8.56,34.891999999999996
36.483000000000004,8.93,36.483000000000004
38.297,9.2,38.297
35.948,9.0,35.948
39.14,8.95,39.14
34.609,8.77,34.609
34.707,8.42,34.707
34.121,7.99,34.121
37.156,7.88,37.156
34.359,8.38,34.359
32.236999999999995,9.09,32.236999999999995
28.819000000000003,9.27,28.819000000000003
26.01,8.31,26.01
25.552,7.58,25.552
21.371,8.0,21.371
16.948,8.01,16.948
16.410999999999998,7.61,16.410999999999998
11.165,7.4,11.165
6.521,7.05,6.521
4.516,6.67,4.516
6.142,6.34,6.142
6.2379999999999995,6.56,6.2379999999999995
5.199,6.04,5.199
4.265,6.33,4.265
3.013,6.58,3.013
1.808,5.43,1.808
3.4610000000000003,5.22,3.4610000000000003
5.457000000000001,5.7,5.457000000000001
4.916,6.16,4.916
4.376,6.01,4.376
7.772,5.38,7.772
8.463,5.62,8.463
5.99,5.08,5.99
4.212,4.37,4.212
3.389,4.05,3.389
2.438,3.33,2.438
0.163,3.24,0.163
0.0,3.26,0.0
0.0,3.35,0.0
0.0,3.64,0.0
0.0,3.32,0.0
0.0,3.21,0.0
0.099,2.55,0.099
0.0,3.12,0.0
0.12300000000000001,2.48,0.12300000000000001
0.0,2.49,0.0
0.0,1.95,0.0
0.0,1.48,0.0
0.0,0.34,0.0
0.0,0.0,0.0
0.0,1.6,0.0
0.0,1.2,0.0
0.0,1.3,0.0
0.0,1.4,0.0
0.0,1.4,0.0
0.0,1.5,0.0
0.0,1.5,0.0
0.0,1.5,0.0
0.0,0.65,0.0
0.0,1.26,0.0
0.0,,0.0
0.0,0.01,0.0
0.0,0.02,0.0
0.0,0.61,0.0
0.0,1.38,0.0
0.0,1.24,0.0
0.0,1.41,0.0
0.0,1.95,0.0
0.0,2.02,0.0
0.0,2.31,0.0
0.0,1.7,0.0
0.0,0.78,0.0
0.0,1.89,0.0
0.0,2.23,0.0
0.0,2.82,0.0
